x y
401.72229797859745 804.9883613545135
906.5265882347296 1294.9970961230633
886.0259527797319 1302.5735245223555
390.5201987463681 809.3687658074559
392.0946103369541 816.0500662651733
1192.4216917586477 593.543958113562
1196.6206218293544 600.453069213334
1201.3824759147951 585.0233673777961
813.7288121870345 204.7193916498782
996.3899924754027 694.9287463810664
907.6885799289124 1309.0236700416594
813.878828548892 186.51104768938106
301.95940333434515 1490.818665221754
797.1320756035357 193.6650264292865
783.9278865139946 203.89776561349635
488.16852427456604 504.94686557578495
392.7439990765046 798.1064584173469
1293.0660005917778 287.3942104701765
1291.2391788182988 286.4801969731032
308.24611701773273 1512.4072887265957
990.6009119663646 699.5070163389416
514.8484665357485 507.77622219534936
812.6698304325212 211.7635417980074
397.6886099671371 795.9528768985034
390.8239987187017 797.7693967130446
304.8158095036947 1490.1041743605408
316.3726511583521 1501.4667528426016
984.2765994479626 689.8195988837859
493.1093509403796 503.26625180927795
304.9706089321853 1489.7810968817369
1180.6550801312428 605.643562900816
292.1965573540493 1486.5603838314778
903.2239359557424 1311.8729113984516
407.94062019626483 787.7372575172867
787.6291754585244 208.5384295682926
498.9160459490135 490.6354741852093
989.2789624940782 702.1150178754389
1298.2303195735283 290.6415015737664
1289.0049898968507 292.7744132732211
506.4154398770412 495.44254837809825
488.3671469485529 502.9678793281248
288.70416769707816 1502.1863947944248
287.1723037801359 1507.4281176674797
1290.4692287044697 301.7994497051371
789.6198099713633 209.47727824403978
1296.608135245149 304.825259298191
1011.177569900521 687.7077385136201
890.6196762046152 1295.0254786688631
1318.7312495541717 297.7017616712344
1311.352830445145 289.15220495778686
1282.182637354239 298.24224744275614
508.8973440953026 507.80118106295834
1196.0438897949 587.1301246639315
986.7348696782299 704.761044652228
393.0456367274433 797.6558299287403
503.07207391139406 496.47067254637824
903.6446556270455 1302.4449123115542
1211.7481140553512 606.7329328613952
793.7265002033723 202.58583655760302
1000.3315437234535 713.5518209038596
916.2238068160052 1308.323640769104
1198.888591566995 602.3935096654604
1202.187698964345 590.6151341542627
499.04206226953823 492.6370175507586
419.0790535201856 795.0455528763536
911.9025083129244 1275.11602858616
1300.3402690465762 306.206021809519
895.9002814585577 1298.2951683703861
1199.3712107041479 613.4190586850381
1016.4724257078587 703.0745689056783
991.4384903127117 701.2618261145883
300.8794860102143 1501.8476365557601
1004.769182336572 701.4098070243597
800.3993831982932 194.86092397825536
913.8927319381183 1311.5222278257881
407.19338458391127 804.8735612803234
813.465471248808 201.23636794645745
1203.3609081498746 596.167649036696
502.8694659224903 501.676966932139
292.8845038189504 1491.615166227677
